"Nom de la breloque";"Rang";"Description";"Ensemble lié";"Tag";"Bonus conditionnel minimum";"incrément";"Bonus conditionnel maximum";"Type d'input";"Bonus par défaut"
"Breloque d'Explosivité croissante";"Expert";"Le porteur gagne 1 Invocation de bombe (infini) tous les 3 tours. Cumul maximum :3.";"Ensemble de l'Artificier";"Bonus Divers";;;;;
"Breloque d'Explosivité croissante";"Maître ?";"Le porteur gagne 1 lInvocation de bombe (infini) tous les 2 tours. Cumul maximum :3.";"Ensemble de l'Artificier";"Bonus Divers";;;;;
"Breloque d'Explosivité croissante";"Maître ?";"Le porteur gagne 1 Invocation de bombe (infini) tous les 3 tours. Cumul maximum :5.";"Ensemble de l'Artificier";"Bonus Divers";;;;;
"Breloque d'Explosivité croissante";"Novice";"Le porteur gagne 1 Invocation de bombe (infini) tous les 3 tours. Cumul maximum : 2.";"Ensemble de l'Artificier";"Bonus Divers";;;;;
"Breloque de Capacité croissante";"Expert";"Le porteur gagne 1 PA (infini) tous les 3 tours. Cumul maximum : 3.";;"Bonus PA/PO";0;1;"3 PA";"range";0
"Breloque de Capacité croissante";"Maître ?";"Le porteur gagne 1 PA (infini) tous les 2 tours. Cumul maximum : 3.";;"Bonus PA/PO";0;1;"3 PA";"range";0
"Breloque de Capacité croissante";"Maître ?";"Le porteur gagne 1 PA (infini) tous les 3 tours. Cumul maximum : 5.";;"Bonus PA/PO";0;1;"5 PA";"range";0
"Breloque de Capacité croissante";"Novice";"Le porteur gagne 1 PA (infini) tous les 3 tours. Cumul maximum : 2.";;"Bonus PA/PO";0;1;"2 PA";"range";0
"Breloque de Carapace adaptative";"Expert";"Le porteur gagne 100% de son niveau en bouclier pour chaque ennemi adjacent lorsqu'il termine son tour.";"Ensemble du Pugiliste";"Soin - Protection";;;;;
"Breloque de Carapace adaptative";"Maître ?";"Le porteur gagne 200% de son niveau en bouclier pour chaque ennemi adjacent lorsqu'il termine son tour.";"Ensemble du Pugiliste";"Soin - Protection";;;;;
"Breloque de Carapace adaptative";"Maître ?";"Le porteur gagne 125% de son niveau en bouclier pour chaque ennemi dans un cercle de deux cases autour de lui lorsqu'il termine son tour.";"Ensemble du Pugiliste";"Soin - Protection";;;;;
"Breloque de Carapace adaptative";"Novice";"Le porteur gagne 50% de son niveau en bouclier pour chaque ennemi adjacent lorsqu'il termine son tour.";"Ensemble du Pugiliste";"Soin - Protection";;;;;
"Breloque de Dernier repli";"Expert";"Applique 400 points de bouclier au début du combat si les PDV du porteur sont inférieurs a 3o%.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de Dernier repli";"Maître ?";"Applique 1000 points de bouclier au début du combat si les PDV du porteur sont inférieurs a 30%.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de Dernier repli";"Maître ?";"Applique 500 points de bouclier au début du combat si les PDV du porteur sont inférieurs a 50%.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de Dernier repli";"Novice";"Applique 400 points de bouclier au début du combat si les PDV du porteur sont inferieurs a 20%.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de Dernier Souffle";"Expert";"Lorsque le porteur meurt, soigne ses alliés en zone (cercle de 2 cases) de 15% de leurs PDv.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de Dernier Souffle";"Maître ?";"Lorsque le porteur meurt, soigne ses alliés en zone (cercle de 2 cases) de 30% de leurs PDv.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de Dernier Souffle";"Maître ?";"Lorsque le porteur meurt, soigne ses alliés en zone (cercle de 4 cases) de 20% de leurs PDv.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de Dernier Souffle";"Novice";"Lorsque le porteur meurt, soigne ses allies en zone (cercle de 2 cases) de 10% de leurs PDv.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de l'Acupuncteur";"Expert";"Lorsque le porteur effectue un Coup Critique, il se soigne de 3 a 5 PDV dans son meilleur élément. Cet effet se declenche 3 fois par tour maximum.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque de l'Acupuncteur";"Maître ?";"Lorsque le porteur effectue un Coup Critique, il se soigne ainsi que Il'ensemble de ses allés de 4 a 6 PDV dans son meilleur élément. Cet effet se declenche 3 fois par tour maximum.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque de l'Acupuncteur";"Maître ?";"Lorsque le porteur effectue un Coup Critique, il se soigne de 6 a 8 PDV dans son meilleur élément. Cet effet se declenche 5 fois par tour maximum.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque de l'Acupuncteur";"Novice";"Lorsque le porteur effectue un Coup Critique, il se soigne de 3 a 4 PDV dans son meilleur élément.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque de l'Agoraphobe";"Expert";"Au début de son tour, le lanceur perd 3% de ses PDV et repousse les ennemis a son contact de 1 case.";;"Mobilité + Bonus Divers";;;;;
"Breloque de l'Agoraphobe";"Maître ?";"Au début de son tour, le lanceur perd 1% de ses PDV et retire 1 PM aux ennemis a son contact puis les repousse de 1 case.";;"Mobilité + Bonus Divers";;;;;
"Breloque de l'Agoraphobe";"Maître ?";"Au début de son tour, le lanceur repousse les ennemis a son contact de 1 case.";;"Mobilité + Bonus Divers";;;;;
"Breloque de l'Agoraphobe";"Novice";"Au début de son tour, le lanceur perd 5% de ses PDV et repousse les ennemis a son contact de 1 case.";;"Mobilité + Bonus Divers";;;;;
"Breloque de l'Artificier instable";"Expert";"A la fin de chacun de ses tours, le porteur augmente de 1 le combo de sa bombe la plus proche et échange de position avec elle.";"Ensemble de l'Artificier";"Mobilité + Bonus Divers";;;;;
"Breloque de l'Artificier instable";"Maître ?";"A la fin de chacun de ses tours, le porteur augmente de 3 le combo de sa bombe la plus proche et échange de position avec elle.";"Ensemble de l'Artificier";"Mobilité + Bonus Divers";;;;;
"Breloque de l'Artificier instable";"Maître ?";"A la fin de chacun de ses tours, le porteur augmente de 1 le combo de sa bombe la plus proche, lui applique un bouclier et échange de position avec elle.";"Ensemble de l'Artificier";"Mobilité + Bonus Divers";;;;;
"Breloque de l'Artificier instable";"Novice";"A la fin de chacun de ses tours, le porteur échange de position avec sa bombe la plusproche.";"Ensemble de l'Artificier";"Mobilité + Bonus Divers";;;;;
"Breloque de l'Audacieux";"Expert";"Multiplie les dommages subis par 2 (50% de chance) ou soigne (50% de chance).";;"Soin - Protection";;;;;
"Breloque de l'Audacieux";"Maître ?";"Les dégâts recus soignent le lanceur dans 10% des cas.";;"Soin - Protection";;;;;
"Breloque de l'Audacieux";"Maître ?";"Multiplie les dommages subis par 2 (50% de chance) ou soigne double (50% de chance).";;"Soin - Protection";;;;;
"Breloque de l'Audacieux";"Novice";"Multiplie les dommages subis par 2 (70% de chance) ou soigne (30% de chance).";;"Soin - Protection";;;;;
"Breloque de l'Embourbeur embourbé";"Expert";"Augmente le Retrait PA et PM du porteur de 20. mais réduit son Esquive PA et PM de 10 en contrepartie.";"Ensemble de l'Entraveur";"Entrave";"+20 Retrait PA + 20 Retrait PM ; - 10 Esquive PA - 10 Esquive PM";;"+20 Retrait PA + 20 Retrait PM ; - 10 Esquive PA - 10 Esquive PM";"toggle";"+20 Retrait PA + 20 Retrait PM ; - 10 Esquive PA - 10 Esquive PM"
"Breloque de l'Embourbeur embourbé";"Maître ?";"Augmente le Retrait PA et PM du porteur de 30.";"Ensemble de l'Entraveur";"Entrave";"+30 Retrait PA + 30 Retrait PM";;"+30 Retrait PA + 30 Retrait PM";"toggle";"+30 Retrait PA + 30 Retrait PM"
"Breloque de l'Embourbeur embourbé";"Maître ?";"Augmente le Retrait PA et PM du porteur de 60, mais réduit son Esquive PA et PM de 60 en contrepartie.";"Ensemble de l'Entraveur";"Entrave";"+60 Retrait PA + 60 Retrait PM ; - 60 Esquive PA - 60 Esquive PM";;"+60 Retrait PA + 60 Retrait PM ; - 60 Esquive PA - 60 Esquive PM";"toggle";"+60 Retrait PA + 60 Retrait PM ; - 60 Esquive PA - 60 Esquive PM"
"Breloque de l'Embourbeur embourbé";"Novice";"Augmente le Retrait PA et PM du porteur de 10, mais réduit son Esquive PA et PM de 5 en contrepartie.";"Ensemble de l'Entraveur";"Entrave";"+10 Retrait PA + 10 Retrait PM ; - 5 Esquive PA - 5 Esquive PM";;"+10 Retrait PA + 10 Retrait PM ; - 5 Esquive PA - 5 Esquive PM";"toggle";"+10 Retrait PA + 10 Retrait PM ; - 5 Esquive PA - 5 Esquive PM"
"Breloque de l'Hémophile";"Expert";"Augmente la vitalite maximum du porteur de 50% pour la duree du combat, mais lui applique l'etat Insoignable (infini).";;"Soin - Protection";"+50% PdV";;"+50% PdV";"toggle";"+50% PdV"
"Breloque de l'Hémophile";"Maître ?";"Augmente la vitalité maximum du porteur de 100% pour la durée du combat, mais lui applique l'état Insoignable (infini).";;"Soin - Protection";"+100% PdV";;"+100% PdV";"toggle";"+100% PdV"
"Breloque de l'Hémophile";"Maître ?";"Applique au porteur un bouclier équivalent a 60% de sa vitalité pour la durée du combat, mais lui applique I'état Insoignable (infini).";;"Soin - Protection";;;;;
"Breloque de l'Hémophile";"Novice";"Augmente la vitalite maximum du porteur de 25% pour la duree du combat, mais lui applique l'etat Insoignable (infini).";;"Soin - Protection";"+25% PdV";;"+25% PdV";"toggle";"+25% PdV"
"Breloque de l'Homéopathe";"Expert";"Lorsque le porteur passe sous les 30% de PDV, il regagne 100 points de vie érodés.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de l'Homéopathe";"Maître ?";"Lorsque le porteur passe sous les 50% de PDV, il regagne 100 points de vie érodés.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de l'Homeopathe";"Maître ?";"Lorsque le porteur passe sous les 30% de PDV, il regagne 250 points de vie érodés.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de l'Homéopathe";"Novice";"Lorsque le porteur passe sous les 20% de PDv, il regagne 100 points de vie érodes.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque de la Sentinelle";"Expert";"Le porteur gagne 60% de dommages a distance tant qu'il n'a pas consomme de PM.";;"Dégâts";0;0,6;"dommages finaux distance x1.6";"toggle";0
"Breloque de la Sentinelle";"Maître ?";"Le porteur gagne 100% de dommages a distance tant qu'il n'a pas consomme de PM.";;"Dégâts";0;1;"dommages finaux distance x2";"toggle";0
"Breloque de la Sentinelle";"Maître ?";"Le porteur gagne 60% de dommages tant qu'il n'a pas consomme de PM.";;"Dégâts";0;0,6;"dommages finaux x1.6";"toggle";0
"Breloque de la Sentinelle";"Novice";"Le porteur gagne 30% de dommages a distance tant qu'il n'a pas consommé de PM.";;"Dégâts";0;0,3;"dommages finaux distance x1.3";"toggle";0
"Breloque de la Tournée d'adieux";"Expert";"Lorsque le porteur a 30% de vie ou moins, augmente les dommages de 15%. Retire les effets si le porteur repasse au-dessus de 30% de vie.";"Ensemble des Portes de la Mort";"Dégâts";0;0,15;"dommages finaux x1.15";"toggle";0
"Breloque de la Tournée d'adieux";"Maître ?";"Lorsque le porteur a 50% de vie ou moins, augmente les dommages de 15%. Retire les effets si le porteur repasse au-dessus de 50% de vie.";"Ensemble des Portes de la Mort";"Dégâts";0;0,15;"dommages finaux x1.15";"toggle";0
"Breloque de la Tournée d'adieux";"Maître ?";"Lorsque le porteur a 30% de vie ou moins, augmente les dommages de 30%. Retire les effets si le porteur repasse au-dessus de 30% de vie.";"Ensemble des Portes de la Mort";"Dégâts";0;0,3;"dommages finaux x1.3";"toggle";0
"Breloque de la Tournée d'adieux";"Novice";"Lorsque le porteur a 20% de vie ou moins, augmente les dommages de 15%. Retire les effets si le porteur repasse au-dessus de 20% de vie.";"Ensemble des Portes de la Mort";"Dégâts";0;0,15;"dommages finaux x1.15";"toggle";0
"Breloque de Rage mortelle";"Expert";"Augmente les dommages du porteur de 10% par tour. Tue le porteur au tour 6.";;"Dégâts";"dommages finaux x1.1";0,1;"dommages finaux x1.5";"range";"dommages finaux x1.1"
"Breloque de Rage mortelle";"Maître ?";"Augmente les dommages du porteur de 15% par tour. Tue le porteur au tour 7.";;"Dégâts";"dommages finaux x1.15";0,15;"dommages finaux x1.9";"range";"dommages finaux x1.15"
"Breloque de Rage mortelle";"Maître ?";"Augmente les dommages du porteur de 10% par tour. Tue le porteur au tour 10.";;"Dégâts";"dommages finaux x1.1";0,1;"dommages finaux x1.9";"range";"dommages finaux x1.1"
"Breloque de Rage mortelle";"Novice";"Augmente les dommages du porteur de 10% par tour. Tue le porteur au tour 5.";;"Dégâts";"dommages finaux x1.1";0,1;"dommages finaux x1.4";"range";"dommages finaux x1.1"
"Breloque de Sursaut de puissance";"Expert";"Lorsque le porteur passe sous les 30% de PDV, il gagne 40% de dommages pour le prochain tour. Une seule fois par combat.";"Ensemble des Portes de la Mort";"Dégâts";0;0,4;"dommages finaux x1.4";"toggle";0
"Breloque de Sursaut de puissance";"Maître ?";"Lorsque le porteur passe sous les 30% de PDV, il gagne 50% de dommages pour les deux prochains tours. Une seule fois par combat.";"Ensemble des Portes de la Mort";"Dégâts";0;0,5;"dommages finaux x1.5";"toggle";0
"Breloque de Sursaut de puissance";"Maître ?";"Lorsque le porteur passe sous les 30% de PDV, il gagne 80% de dommages pour le prochain tour. Une seule fois par combat.";"Ensemble des Portes de la Mort";"Dégâts";0;0,8;"dommages finaux x1.8";"toggle";0
"Breloque de Sursaut de puissance";"Novice";"Lorsque le porteur passe sous les 20% de PDV. il gagne 20% de dommages pour le prochain tour. Une seule fois par combat";"Ensemble des Portes de la Mort";"Dégâts";0;0,2;"dommages finaux x1.2";"toggle";0
"Breloque de Tension croissante";"Expert";"Le porteur gagne 10% Coups critiques (infini) tous les 2 tours. Cumul maximum : 3.";"Ensemble du Chanceux";"Dégâts";0;10;"30% critique";"range";0
"Breloque de Tension croissante";"Maître ?";"Le porteur gagne 10% Coups critiques (infini) tous les 2 tours. Cumul maximum : 5.";"Ensemble du Chanceux";"Dégâts";0;10;"50% critique";"range";0
"Breloque de Tension croissante";"Maître ?";"Le porteur gagne 10% Coups critiques (infini) chaque tour. Cumul maximum : 3.";"Ensemble du Chanceux";"Dégâts";"10% critique";10;"30% critique";"range";"10% critique"
"Breloque de Tension croissante";"Novice";"Le porteur gagne 10% Coups critiques (infini) tous les 3 tours. Cumul maximum : 3.";"Ensemble du Chanceux";"Dégâts";0;10;"30% critique";"range";0
"Breloque de Vision croissante";"Expert";"Le porteur gagne 1 PO (infini) tous les 2 tours. Cumul maximum : 3.";;"Bonus PA/PO";0;1;"3PO";"range";0
"Breloque de Vision croissante";"Maître ?";"Le porteur gagne 1 PO (infini) tous les 2 tours. Cumul maximum : 5.";;"Bonus PA/PO";0;1;"5PO";"range";0
"Breloque de Vision croissante";"Maître ?";"Le porteur gagne 1 PO (infini) chaque tour. Cumul maximum : 3.";;"Bonus PA/PO";"1PO";1;"3PO";"range";"1PO"
"Breloque de Vision croissante";"Novice";"Le porteur gagne 1 PO (infini) tous les 3 tours. Cumul maximum : 3.";;"Bonus PA/PO";0;1;"3PO";"range";0
"Breloque du Bombeur fasciné";"Expert";"-100 Vitalité, +1 bombes";"Ensemble de l'Artificier";"Bonus Divers";"-100 Vitalité";;"-100 Vitalité";"toggle";"-100 Vitalité"
"Breloque du Bombeur fasciné";"Maître ?";"-100 Vitalité, +2 bombes";"Ensemble de l'Artificier";"Bonus Divers";"-100 Vitalité";;"-100 Vitalité";"toggle";"-100 Vitalité"
"Breloque du Bombeur fasciné";"Maître ?";"+200 vitalité, +1 bombes";"Ensemble de l'Artificier";"Soin - Protection + Bonus Divers";"+200 vitalité";;"+200 vitalité";"toggle";"+200 vitalité"
"Breloque du Bombeur fasciné";"Novice";"-300 Vitalité, +1 bombes";"Ensemble de l'Artificier";"Bonus Divers";"-300 Vitalité";;"-300 Vitalité";"toggle";"-300 Vitalité"
"Breloque du Bouclier d'urgence";"Expert";"Lorsque le porteur passe sous les 30% de PDV, applique 450 points de bouclier. Une seule fois par combat.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque du Bouclier d'urgence";"Maître ?";"Lorsque le porteur passe sous les 30% de PDV, applique 1200 points de bouclier. Une seule fois par combat.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque du Bouclier d'urgence";"Maître ?";"Lorsque le porteur passe sous les 50% de PDV, applique 600 points de bouclier. Une seule fois par combat.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque du Bouclier d'urgence";"Novice";"Lorsque le porteur passe sous les 20% de PDV, applique 450 points de bouclier. Une seule fois par combat.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque du Clerc obscur";"Expert";"Effectue un soin d'une valeur de base de 5 sur le lanceur au début de chaque tour. Réduit en contrepartie ses résistances Fixes de 3 (infini) au début de chaque tour.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque du Clerc obscur";"Maître ?";"Effectue un soin d'une valeur de base de 10 sur le lanceur et son allie au début de chaque tour. Réduit en contrepartie ses résistances Fixes de 3 (infini) au début de chaque tour.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque du Clerc obscur";"Maître ?";"Effectue un soin d'une valeur de base de 10 sur le lanceur au début de chaque tour.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque du Clerc obscur";"Novice";"Effectue un soin d'une valeur de base de 3 sur le lanceur au début de chaque tour. Réduit en contrepartie ses résistances Fixes de 3 (infini) au début de chaque tour.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque du Combattant belliqueux";"Expert";"Attire le porteur de 2 cases vers l'adversaire le plus proche au début de chaque tour.";"Ensemble du Pugiliste";"Mobilité";;;;;
"Breloque du Combattant belliqueux";"Maître ?";"Attire le porteur de 3 cases vers l'adversaire le plus proche au début de chaque tour.";"Ensemble du Pugiliste";"Mobilité";;;;;
"Breloque du Combattant belliqueux";"Maître ?";"Attire l'adversaire le plus proche de 2 cases vers le porteur au début de chaque tour.";"Ensemble du Pugiliste";"Mobilité";;;;;
"Breloque du Combattant belliqueux";"Novice";"· Attire le porteur d'1 case vers l'adversaire le plus proche au début de chaque tour.";"Ensemble du Pugiliste";"Mobilité";;;;;
"Breloque du Flagellant";"Expert";"Retire 70% de la vie actuelle du porteur pendant 3 tours, mais lui confère 2 PA pour toute la durée du combat.";"Ensemble des Portes de la Mort";"Bonus PA/PO";"2PA";;"2PA";"toggle";"2PA"
"Breloque du Flagellant";"Maître ?";"Retire 70% de la vie actuelle du porteur pendant 3 tours, mais lui confère 3 PA pour toute la durée du combat.";"Ensemble des Portes de la Mort";"Bonus PA/PO";"3PA";;"3PA";"toggle";"3PA"
"Breloque du Flagellant";"Maître ?";"Retire 70% de la vie actuelle du porteur pendant 3 tours, mais confère 2 PA au porteur et a son allie pour toute la durée du combat.";"Ensemble des Portes de la Mort";"Bonus PA/PO";"2PA";;"2PA";"toggle";"2PA"
"Breloque du Flagellant";"Novice";"Retire 70% de la vie actuelle du porteur pendant 3 tours, mais lui confere 1 PA pour toute la duree du combat.";"Ensemble des Portes de la Mort";"Bonus PA/PO";"1PA";;"1PA";"toggle";"1PA"
"Breloque du Forcené";"Expert";"-15% Coups Critiques, +40 Dommages Critiques";"Ensemble du Chanceux";"Dégâts";"-15% Coups Critiques, +40 Dommages Critiques";;"-15% Coups Critiques, +40 Dommages Critiques";"toggle";"-15% Coups Critiques, +40 Dommages Critiques"
"Breloque du Forcené";"Maître ?";"-5% Coups Critiques, +50 Dommages Critiques";"Ensemble du Chanceux";"Dégâts";"-5% Coups Critiques, +50 Dommages Critiques";;"-5% Coups Critiques, +50 Dommages Critiques";"toggle";"-5% Coups Critiques, +50 Dommages Critiques"
"Breloque du Forcene";"Maître ?";"-15% Coups Critiques, +100 Dommages Critiques";"Ensemble du Chanceux";"Dégâts";"-15% Coups Critiques, +100 Dommages Critiques";;"-15% Coups Critiques, +100 Dommages Critiques";"toggle";"-15% Coups Critiques, +100 Dommages Critiques"
"Breloque du Forcené";"Novice";"-15% Coups Critiques, +20 Dommages Critiques";"Ensemble du Chanceux";"Dégâts";"-15% Coups Critiques, +20 Dommages Critiques";;"-15% Coups Critiques, +20 Dommages Critiques";"toggle";"-15% Coups Critiques, +20 Dommages Critiques"
"Breloque du Guérisseur tenace";"Expert";"Le porteur est soigné d'une portion de ses PDV dans le meilleur élément (5-7) lorsqu'il est poussé ou attiré. 2 fois par tour maximum.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque du Guérisseur tenace";"Maître ?";"Le porteur est soigné d'une portion de ses PDV dans le meilleur élément (17-20) lorsqu'il est poussé ou attiré. Une fois par tour maximum.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque du Guérisseur tenace";"Maître ?";"Le porteur est soigné d'une portion de ses PDV dans le meilleur élément (12-15) lorsqu'il est poussé ou attiré. 3 fois par tour maximum.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque du Guérisseur tenace";"Novice";"Le porteur est soigné d'une portion de ses PDV dans le meilleur élément (3-4) lorsqu'il est poussé ou attiré. Une fois par tour maximum.";"Ensemble de l'Altruiste";"Soin - Protection";;;;;
"Breloque du Martyr";"Expert";"Lorsque le porteur meurt, il occasionne des dommages équivalents a 25% de sa vie manquante dans le meilleur élément en zone (cercle de 2 cases) aux ennemis.";"Ensemble des Portes de la Mort";"Dégâts";;;;;
"Breloque du Martyr";"Maître ?";"Lorsque le porteur meurt, il occasionne des dommages équivalents a 50% de sa vie manquante dans le meilleur élément en zone (cercle de 2 cases) aux ennemis.";"Ensemble des Portes de la Mort";"Dégâts";;;;;
"Breloque du Martyr";"Maître ?";"Lorsque le porteur meurt, il occasionne des domrmages équivalents a 30% de sa vie manquante dans le meilleur élément en zone (cercle de 4 cases) aux ennemis.";"Ensemble des Portes de la Mort";"Dégâts";;;;;
"Breloque du Martyr";"Novice";"Lorsque le porteur meurt, il occasionne des dommages équivalents a 20% de sa vie manquante dans le meilleur élément en zone (cercle de 2 cases) aux ennemis.";"Ensemble des Portes de la Mort";"Dégâts";;;;;
"Breloque du Paladin d'avant-garde";"Expert";"Applique 200 points de boucller au début du combat.";;"Soin - Protection";;;;;
"Breloque du Paladin d'avant-garde";"Maître ?";"Applique 300 points de bouclier au porteur et son allie au début du combat.";;"Soin - Protection";;;;;
"Breloque du Paladin d'avant-garde";"Maître ?";"Applique 600 points de bouclier au début du combat.";;"Soin - Protection";;;;;
"Breloque du Paladin d'avant-garde";"Novice";"Applique 100 points de bouclier au début du combat.";;"Soin - Protection";;;;;
"Breloque du Randonneur ballonné";"Expert";"Occasionne des dommages aux ennemis en croix autour du porteur dans son meilleur élément d'attaque a chaque fois qu'il est attiré ou pousse. Dommages : 11 a 15.";"Ensemble du Pugiliste";"Dégâts";;;;;
"Breloque du Randonneur ballonné";"Maître ?";"Applique un poison de 2 tours aux ennemis en croix autour du porteur dans son meilleur élément d'attaque a chaque fois qu'il est attire ou pousse. Dommages : 21 a 25. Cumul maximum : 3.";"Ensemble du Pugiliste";"Dégâts";;;;;
"Breloque du Randonneur ballonne";"Maître ?";"Occasionne des dommages aux ennemis dans un cercle de deux cases autour du porteur dans son meilleur élément d'attaque a chaque fois qu'il est attire ou poussé. Dommages : 21 a 30.";"Ensemble du Pugiliste";"Dégâts";;;;;
"Breloque du Randonneur ballonné";"Novice";"Occasionne des dommages aux ennemis en croix autour du porteur dans son meilleur élément d'attaque a chaque fois qu'il est attire ou pousse. Dommages : 6 a 8.";"Ensemble du Pugiliste";"Dégâts";;;;;
"Breloque du Randonneur tenace";"Expert";"Le porteur gagne 1 PM lorsqu'il est poussé ou attiré. 2 fois par tour maximum.";;"Mobilité";0;"1";"2PM";"range";"0"
"Breloque du Randonneur tenace";"Maître ?";"Le porteur gagne 3 PM lorsqu'il est poussé ou attiré. 1 fois par tour maximum.";;"Mobilité";"0";"3";"3PM";"toggle";"0"
"Breloque du Randonneur tenace";"Maître ?";"Le porteur gagne 2 PM lorsqu'il est poussé ou attiré. 3 fois par tour maximum.";;"Mobilité";"0";"2";"6PM";"range";"0"
"Breloque du Randonneur tenace";"Novice";"Le porteur gagne 1 PM lorsqu'il est poussé ou attiré. Une fois par tour maximum.";;"Mobilité";"0";"1";"1PM";"toggle";"0"
"Breloque du Revenant";"Expert";"Une fois par combat permet d'être ressuscite par un allie humain au début de son prochain tour. Le porteur revient avec 20% des points de vie.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque du Revenant";"Maître ?";"Une fois par combat permet d'être ressuscite par un allie humain au début de son prochain tour. Le porteur revient avec 25% des points de vie ainsi que 600 points de bouclier. Le bouclier se dissipe après deux tours.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque du Revenant";"Maître ?";"Une fois par combat permet d'être ressuscite par un allie humain au début de son prochain tour. Le porteur revient avec 25% des points de vie ainsi qu'un bonus de 30% de dégâts. Le bonus se dissipe après deux tours.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque du Revenant";"Novice";"Une fois par combat permet d'être ressuscite par un allie humain au début de son prochain tour. Le porteur revient avec 10% des points de vie.";"Ensemble des Portes de la Mort";"Soin - Protection";;;;;
"Breloque du Rixeur Instable";"Expert";"Augmente de 30% les dommages occasionnés en mêlée, mais téléporte aléatoirement au début de chaque tour.";"Ensemble du Pugiliste";"Dégâts + Mobilité";"dommages finaux mêlée x1.3";;"dommages finaux mêlée x1.3";"toggle";"dommages finaux mêlée x1.3"
