"Nom du sort","Élément","Rang d'évolution","Dégâts min","Dégâts max","Dégâts critique min","Dégâts critique max","Chance de critique","Coût en PA","Portée min","Portée max","Portée modifiable","Portée diagonale/ligne","Lancers par tour","Lancers par cible","Intervalle de relance (CD)","Description","Ligne de vue requise","Zone d'effet","Lancers par combat","Durée de l'effet","Cumul des effets"
"Dîme étouffante",,"Unique",38,42,43,47,20,4,1,7,"non",,2,,,,"oui","Monocible",,2,1
"Étreinte forcée",,"Unique",,,,,20,3,1,6,"non","lancer en ligne",2,1,,,"non","Monocible",,1,1
"Funérailles Aériennes",,"Unique",41,45,51,55,20,4,3,7,"oui",,,,2,,"non","croix de 3 cases ",,,
"Hulularvaire",,"Unique",36,45,46,55,20,4,1,4,"non","lancer en ligne",1,,,,"oui","ligne de 5 cases",,1,
"Invocation de Pyrover domestique",,"Unique",,,,,,3,1,4,"non",,,,4,,"non","Monocible",,,
"Peau de pierre",,"Unique",,,,,20,4,,0,"non",,,,5,,"oui","cercle de 2 cases",,2,1
"Rendez-vous secret",,"Unique",,,,,,4,1,1,"non",,,,5,,"non","Monocible",2,1,
"Sacrifice nécessaire",,"Unique",,,,,,3,1,5,"oui",,,,,,"oui","Monocible",2,,
"Sh'hzx",,"Unique",,,,,,4,,0,"non",,,,2,,"oui","Cercle de 63 cases",,2,1
"Toxines",,"Unique",21,25,24,28,20,4,1,5,"oui",,1,,,,"non","cercle de 2 cases",,2,3
"Mon ami imaginaire",,"Unique",,,,,,3,1,3,"non",,,,4,,"non","Monocible",2,,
"Kong Smash",,"Unique",31,35,36,40,20,4,1,1,"non",,,,3,,"oui","ligne perpendiculaire de 1 case",,,
