Nom du sort,Classe,Élément principal,Description,Coût en PA,Portée min,Portée max,Portée modifiable,Ligne de vue requise,Zone d’effet,Lancers par tour,Lancers par combat,Lancers par cible,Portée en diagonale / ligne,Intervalle de relance (CD),Interval de relance initial,Durée de l’effet,Cumul des effets,Dégâts de base,Type de dégâts,Effet du sort,Condition d’activation,Dégâts critique,Effet du sort (Critique),Chance de critique,État appliqué,Icône / visuel du sort,
Crapaud - Novice,Osamodas,-,-,2,0,5,Non,Oui,Monocible,1,,-,-,1,-,1 Tour,1,-,-,Dommages Subis x85% (Invoc) / Dommages Subis x95% (Alliés) / Dommages Subis x90% (Lanceur) ,-,-,-,-,-,-,
Piqûre Motivante - Novice,Osamodas,-,-,3,0,5,Non,Oui,Monocible,1,,-,Ligne,2,-,2 Tours,1,-,-,4 PA (Invoc) / 2 PA (Allié & Lanceur),-,-,-,-,-,-,
Bond du Félin - Novice,Ecaflip,-,-,1,0,2,Non,Oui,Monocible,3,,3,-,-,-,1 Tour,3,-,-,1 PM / 5 Fuite,-,-,-,-,-,-,
Trèfle - Novice,Ecaflip,-,-,2,0,5,Oui,Non,Monocible,1,,-,-,4,-,1 Tour,1,-,-,200% Coups Critiques (1 tour) / -200% Coups Critiques (dans 1 tour) / -200% Coups Critiques (1 tour) / 200% Coups Critiques (dans 1 tour),-,-,-,-,-,-,
Odorat - Novice,Ecaflip,-,-,3,0,1,Non,Oui,Cercle de 3 cases,1,,-,-,3,-,1 Tour,-,-,-,- 3 PA (1 tour) / 3 PM (1 tour) / -3 PM (dans 1 tour) / 3 PA (dans 1 tour) / 3PA (1 tour),-,-,-,-,-,-,
Invocation d'Arbre - Novice,Sadida,-,-,2,1,6,Oui,Non,-,1,,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,
Ronce Insolente - Novice,Sadida,-,-,3,0,5,Oui,Oui,Monocible,-,,-,Ligne,2,-,-,-,-,-,- 2 Durée des effets,-,-,-,-,-,-,
Herbe Folle - Novice,Sadida,-,-,3,0,6,Oui,Oui,Cercle de 2 cases,2,,-,Ligne,-,-,1 Tour,1,-,-,- 2 PM (1 tour),-,-,-,-,-,-,
Bond - Novice,Iop,-,-,3,1,4,Non,Non,-,-,,-,-,2,-,-,-,-,-,Téléporte sur la case ciblée,"État interdit : Pesanteur, Enraciné, Indéplaçable",-,-,-,-,-,
Puissance - Novice,Iop,-,-,3,0,5,Non,Oui,Monocible,-,,-,-,5,-,3 Tours,1,-,-,Augmente les dommages finaux occasionnés de 15% (3 tours),-,-,-,-,-,-,
Brokle - Novice,Iop,-,-,2,0,5,Non,Non,Monocible,-,,-,-,4,-,2 Tours,1,-,-,Maximise les effets aléatoires (2 tours),-,-,-,-,-,-,
Maladresse - Novice,Enutrof,-,-,2,1,6,Oui,Oui,Monocible,2,,1,-,-,-,1 Tour,1,-,-,-3 PM (1tour),-,-,-,-,-,-,
Clé Réductrice - Novice,Enutrof,-,-,2,1,6,Oui,Oui,Monocible,-,,-,-,3,-,2 Tours,1,-,-,-4 PO (2 tours),-,-,-,-,-,-,
Corruption - Novice,Enutrof,-,-,4,2,5,Oui,Oui,Monocible,-,,-,-,6,-,-,-,-,-,Réduit les dommages finaux occasionnés de 40% (1 tour) / 30% des PV en bouclier (2 tours) / 2 PA (1 tour),-,-,-,-,-,-,
Châtiment du Martyr - Novice,Sacrieur,-,-,3,0,0,Non,Oui,-,-,,-,-,5,-,4 Tours,-,-,-,Châtiment de 200 sur tour(s) (4 tours) / 50 Puissance (4 tours),-,-,-,-,-,-,
Transposition - Novice,Sacrieur,-,-,3,1,6,Oui,Non,-,-,,-,-,3,1,-,-,--,-,Échange de positions,"État interdit : Pesanteur, Enraciné, Indéplaçable",-,-,-,-,-,
Attirance - Novice,Sacrieur,-,-,3,2,8,Non,Oui,-,2,,1,Ligne,-,-,-,-,-,-,Attire de 7 case(s),-,-,-,-,-,-,
Rempart - Novice,Feca,-,-,2,0,0,Non,Oui,Cercle de 3 cases,-,,-,-,4,-,2 Tours,1,-,-,Dommages Subis x85% (2 tours),-,-,-,-,-,-,
Téléglyphe - Novice,Feca,-,-,3,1,6,Non,Non,-,-,,-,-,4,-,-,-,-,-,Téléporte sur la case ciblée / Déclenche les glyphes,"État interdit : Pesanteur, Enraciné, Indéplaçable",-,-,-,-,-,
Mise en garde - Novice,Feca,-,-,2,0,0,Non,Oui,-,-,,-,-,5,-,-,1,-,-,Déclenche les glyphes / Dissiper les glyphes de la cible / 150 Puissance (2 tours),-,-,-,-,-,-,
Double - Novice,Sram,-,-,3,1,2,Non,Oui,-,-,,-,Ligne,4,-,-,-,-,-,Créer un double du lanceur de sort,-,-,-,-,-,-,
Peur - Novice ,Sram,-,-,2,2,5,Non,Non,-,-,,-,Ligne,-,-,-,-,-,-,Pousse jusqu'à la case visée,-,-,-,-,-,-,
Piège répulsif - Novice,Sram,-,-,3,1,6,Oui,Non,Cercle de 1 case,-,,-,-,1,-,-,-,-,-,Pose un piège de rang 1 / Repousse de 2 case(s),-,-,-,-,-,-,
Maîtrise de l'Arc - Novice,Crâ,-,-,2,0,0,Non,Oui,Cercle de 2 cases,-,,-,-,4,-,2 Tours,1,-,-,2 PO (2 tours) / 10% Coups Critiques (2 tours) / Augmente les dommages finaux occasionnés de 5% (2 tours),-,-,-,-,-,-,
Flèche Grappin - Novice,Crâ,-,-,2,2,5,Non,Oui,-,1,,-,Ligne,-,-,-,-,-,-,Avance de 5 case(s) / Avance de 1 case(s),"État interdit : Enraciné, Indéplaçable, Inébranlable",-,-,-,-,-,
Flèche de Dispersion - Novice,Crâ,-,-,3,1,5,Non,Oui,Croix de 2 cases,-,,-,-,3,-,-,-,-,-,Repousse de 2 case(s),-,-,-,-,-,-,
Mot Stimulant - Novice,Eniripsa,-,-,2,0,0,Non,Oui,Croix de 3 cases,-,,-,-,4,3,3 Tours,1,-,-,2 PA (3 tours) / État Stimulé (3 tours),-,-,-,-,-,-,
Mot de Frayeur - Novice,Eniripsa,-,-,1,1,4,Non,Oui,-,3,,2,Ligne,-,-,-,-,-,-,Repousse de 1 case(s),-,-,-,-,-,-,
Mot de Jouvence - Novice,Eniripsa,-,-,3,0,4,Oui,Oui,-,-,,-,-,4,-,-,-,-,-,-3 Durée des effets,-,-,-,-,-,-,
Plastron - Novice,Zobal,-,-,4,0,0,Non,Oui,Cercle de 2 cases,-,,-,-,4,-,2 Tours,1,-,-,40% des PV en bouclier (2 tours) / 20% des PV en bouclier (2 tours),-,-,-,-,-,-,
Masque du Psychopathe - Novice,Zobal,-,-,1,0,0,Non,Oui,Croix de 1 case,-,,-,-,4,-,2 Tours,1,-,-,10% Dommages occasionnés en melée (2 tours),-,-,-,-,-,-,
Fougue - Novice,Zobal,-,-,2,0,1,Oui,Oui,-,-,,-,-,3,-,1 Tour,1,-,-,État Insoignable (1 tour) / État Intacable (1 tour),-,-,-,-,-,-,
Aspiration - Novice,Steamer,-,-,2,2,7,Oui,Oui,-,2,,1,"Ligne, Diagonale",-,-,-,-,-,-,Avance de 5 case(s) / Avance de 2 case(s),-,-,-,-,-,-,
Armure de Sel - Novice,Steamer,-,-,2,1,5,Non,Oui,-,-,,-,-,3,-,2 Tours,1,-,-,10% Résistance distance (2 tours) / État Indéplaçable (2 tours),-,-,-,-,-,-,
Scaphandre - Novice,Steamer,-,-,2,0,0,Non,Oui,Croix de 1 case,-,,-,-,4,-,2 Tours,4,-,-,1 PM (2 tours) / 1 PA (2 tours) / 25 dommages (2 tours) / 40 Dommages Poussée (2 tours),-,-,-,-,-,-,
Lancer de Pièces - Feu,All,Feu,-,2,1,7,Oui,Non,Monocible,3,,2,-,-,-,-,-,23 à 25,Feu,-,-,26 à 28,-,5%,-,-,
Lancer de Pièces - Terre,All,Terre,-,2,1,7,Oui,Non,Monocible,3,,2,-,-,-,-,-,23 à 25,Terre,-,-,26 à 28,-,5%,-,-,
Félintion - Eau,All,Eau,-,4,2,6,Non,Oui,Monocible,2,,-,Ligne,-,-,-,-,31 à 34,Eau,Repousse de 4 case(s) (1 tour),-,34 à 37,Repousse de 4 case(s) (1 tour),20%,-,-,
Félintion - Terre,All,Terre,-,4,2,6,Non,Oui,Monocible,2,,-,Ligne,-,-,-,-,31 à 34,Terre,Repousse de 4 case(s) (1 tour),-,34 à 37,Repousse de 4 case(s) (1 tour),20%,-,-,
Boliche - Feu,All,Feu,-,3,1,5,Non,Oui,Monocible,2,,-,Ligne,-,-,-,2,26 à 30,Feu,35 Dommages Poussé (2 tours) / Avance de 4 case(s) / Repousse de 3 case(s),-,28 à 32,35 Dommages Poussé (2 tours) / Avance de 4 case(s) / Repousse de 3 case(s),15%,-,-,
Boliche - Air,All,Air,-,3,1,5,Non,Oui,Monocible,2,,-,Ligne,-,-,-,2,26 à 30,Air,35 Dommages Poussé (2 tours) / Avance de 4 case(s) / Repousse de 3 case(s),-,28 à 32,35 Dommages Poussé (2 tours) / Avance de 4 case(s) / Repousse de 3 case(s),15%,-,-,
Schnaps - Eau,All,Eau,-,4,2,6,Non,Non,Croix de 1 case,2,,-,-,-,-,-,-,40 à 42,Eau,-,-,44 à 46,-,20%,-,-,
Schnaps - Feu,All,Feu,-,4,2,6,Non,Non,Croix de 1 case,2,,-,-,-,-,-,-,40 à 42,Feu,-,-,44 à 46,-,20%,-,-,
Escarre face - Terre,All,Terre,-,2,1,6,Non,Oui,Monocible,1,,-,-,-,-,2 Tours,-,-,Terre,Escare face - Maître α (2 tours),-,-,-,-,-,-,
Escarre face - Air,All,Air,-,2,1,6,Non,Oui,Monocible,1,,-,-,-,-,2 Tours,-,-,Air,Escare face - Maître α (2 tours),-,-,-,-,-,-,-
Mot Soignant - Air,All ,Air,-,4,0,4,Oui,Oui,Croix de 1 case,2,5,-,-,-,-,-,-,-,Air,23 à 25 (PV rendus),-,,26 à 28 (PV rendus),5%,-,-,
Mot Soignant - Terre,All ,Terre,-,4,0,4,Oui,Oui,Croix de 1 case,2,5,-,-,-,-,-,-,-,Terre,23 à 25 (PV rendus),-,,26 à 28 (PV rendus),5%,-,-,
Épée du Destin - Feu,All,Feu,-,4,1,3,Non,Oui,Monocible,-,-,-,-,2,-,-,-,44 à 48,Feu,22% des PV érodés de la cible (dommages Feu) (1 tour) / Augmente les dégâts de base du sort Épée du Destin - Maître α de 35 (dans 2 tours),-,49 à 53,25% des PV érodés de la cible (dommages Feu) (1 tour) / Augmente les dégâts de base du sort Épée du Destin - Maître α de 41 (dans 2 tours),20%,-,-,
Épée du Destin - Air,All,Air,-,4,1,3,Non,Oui,Monocible,-,-,-,-,2,-,-,-,44 à 48,Air,22% des PV érodés de la cible (dommages Air) (1 tour) / Augmente les dégâts de base du sort Épée du Destin - Maître α de 35 (dans 2 tours),-,49 à 53,25% des PV érodés de la cible (dommages Air) (1 tour) / Augmente les dégâts de base du sort Épée du Destin - Maître α de 41 (dans 2 tours),20%,-,-,
Foène,All,Meilleur élément,-,4,2,6,Non,Oui,Monocible,2,-,-,-,-,-,4 Tours,1,22 à 26,Meilleur élément,11 à 13 (meilleur élément) (4 tours),-,25 à 29,13 à 15 (meilleur élément) (4 tours),20%,-,-,
Fulgurance - Air,All,Air,-,4,4,6,Non,Non,-,2,-,-,Ligne,1,-,-,-,32 à 36,Air,Téléporte sur la case ciblée / Fulgurance - Maître α : -1 tour(s) de relance,-,34 à 38,Téléporte sur la case ciblée / Fulgurance - Maître α : -1 tour(s) de relance,20%,-,-,
Fulgurance - Terre,All,Terre,-,4,4,6,Non,Non,-,2,-,-,Ligne,1,-,-,-,32 à 36,Terre,Téléporte sur la case ciblée / Fulgurance - Maître α : -1 tour(s) de relance,-,34 à 38,Téléporte sur la case ciblée / Fulgurance - Maître α : -1 tour(s) de relance,20%,-,-,
Sablier du Xélor - Eau,All,Eau,-,3,1,4,Non,Oui,-,3,-,2,-,-,-,-,2,30 à 33,Eau,9 à 11 (dommages Eau) (2 tours),-,33 à 36,9 à 11 (dommages Eau) (2 tours),15%,-,-,
Sablier du Xélor - Terre,All,Terre,-,3,1,4,Non,Oui,-,3,-,2,-,-,-,-,2,30 à 33,Terre,9 à 11 (dommages Terre) (2 tours),-,33 à 36,9 à 11 (dommages Terre) (2 tours),15%,-,-,
Poison Insideux - Feu,All,Feu,-,4,1,8,Non,Non,Monocible,2,-,1,Ligne,-,-,3 Tours,-,,Feu,24 à 26 (dommage Feu) (3 tours),-,-,26 à 28 (dommages Feu) (3 tours),20%,-,-,
Poison Insideux - Air,All,Feu,-,4,1,8,Non,Non,Monocible,2,-,1,Ligne,-,-,3 Tours,-,,Air,24 à 26 (dommage Air) (3 tours),-,-,26 à 28 (dommages Air) (3 tours),20%,-,-,
Ronce Agressives - Terre,All,Terre,-,4,1,7,Oui,Oui,Monocible,2,-,1,-,-,-,-,-,43 à 48,Terre,Vole 2 PM,-,49 à 54,Vole 2 PM,20%,-,-,
Ronce Agressives - Feu,All,Feu,-,4,1,7,Oui,Oui,Monocible,2,-,1,-,-,-,-,-,43 à 48,Feu,Vole 2 PM,-,49 à 54,Vole 2 PM,20%,-,-,
Mot Curatif - Feu,All ,Feu,-,3,1,6,Oui,Oui,Monocible,2,7,1,-,-,-,-,-,-,Feu,21 à 24 (PV rendus),-,-,24 à 27 (PV rendus),5%,-,-,
Mot Curatif - Eau,All ,Eau,-,3,1,6,Oui,Oui,Monocible,2,7,1,-,-,-,-,-,-,Eau,21 à 24 (PV rendus),-,-,24 à 27 (PV rendus),5%,-,-,
Frappe du Craqueleur - Terre,All,Terre,-,4,1,2,Non,Oui,Cercle de 2 cases,1,-,-,Ligne,-,-,1 Tour,1,34 à 38,Terre,150% du niveau en bouclier (1 tour),-,38 à 42,170% du niveau en bouclier (1 tour),20%,-,-,
Frappe du Craqueleur - Air,All,Air,-,4,1,2,Non,Oui,Cercle de 2 cases,1,-,-,Ligne,-,-,1 Tour,1,34 à 38,Air,150% du niveau en bouclier (1 tour),-,38 à 42,170% du niveau en bouclier (1 tour),20%,-,-,
Piège sournois - Terre,All,Terre,-,2,1,5,Oui,Non,Croix de 1 case,2,-,-,-,-,-,-,-,29 à 31,Terre,Attire de 1 case(s),-,-,-,-,-,-,
Piège sournois - Feu,All,Feu,-,2,1,5,Oui,Non,Croix de 1 case,2,-,-,-,-,-,-,-,29 à 31,Feu,Attire de 1 case(s),-,-,-,-,-,-,
Épée de Iop - Terre,All,Terre,-,4,1,7,Non,Oui,Croix de 3 cases,2,-,-,-,-,-,-,-,40 à 44,Terre,-,-,43 à 47,-,20%,-,-,
Épée de Iop - Air,All,Air,-,4,1,7,Non,Oui,Croix de 3 cases,2,-,-,-,-,-,-,-,40 à 44,Air,-,-,43 à 47,-,20%,-,-,
Lancer de Pelle - Air,All,Air,-,3,1,8,Oui,Oui,Monocible,-,-,2,-,-,-,-,-,33 à 36,Air,-2 PO (1 tour),-,36 à 39,-2 PO (1 tour),15%,-,-,
Lancer de Pelle - Eau,All,Eau,-,3,1,8,Oui,Oui,Monocible,-,-,2,-,-,-,-,-,33 à 36,Eau,-2 PO (1 tour),-,36 à 39,-2 PO (1 tour),15%,-,-,
Larme - Eau,All,Eau,-,3,1,7,Oui,Non,Cercle de 2 cases,3,-,2,Ligne,-,-,-,-,32 à 35,Eau,-,-,35 à 38,-,15%,-,-,
Larme - Air,All,Air,-,3,1,7,Oui,Non,Cercle de 2 cases,3,-,2,Ligne,-,-,-,-,32 à 35,Air,-,-,35 à 38,-,15%,-,-,
Projection - Eau,All,Eau,-,2,1,4,Non,Oui,-,2,-,1,"Ligne, Diagonale",-,-,-,-,28 à 30,Eau,Echange de position avec la cible,-,30 à 32,Echange de position avec la cible,5%,-,-,
Projection - Air,All,Air,-,2,1,4,Non,Oui,-,2,-,1,"Ligne, Diagonale",-,-,-,-,28 à 30,Air,Echange de position avec la cible,-,30 à 32,Echange de position avec la cible,5%,-,-,
Piège empoisonné - Eau,All,Eau,-,3,1,10,Oui,Non,Croix de 1 case,-,-,-,-,2,-,-,-,-,Eau,Pose un piège de rang 1 / 15 à 17 (dommage Eau) (4 tours),-,-,-,-,-,-,
Piège empoisonné - Terre,All,Terre,-,3,1,10,Oui,Non,Croix de 1 case,-,-,-,-,2,-,-,-,-,Terre,Pose un piège de rang 1 / 15 à 17 (dommage Terre) (4 tours),-,-,-,-,-,-,
Ressac - Feu,All,Feu,-,3,1,3,Non,Oui,-,2,-,2,Diagonale,-,-,-,-,22 à 26,Feu,Repousse de 2 case(s),-,25 à 29,Repousse de 2 case(s),15%,-,-,
Ressac - Eau,All,Eau,-,3,1,3,Non,Oui,-,2,-,2,Diagonale,-,-,-,-,22 à 26,Eau,Repousse de 2 case(s),-,25 à 29,Repousse de 2 case(s),15%,-,-,
Glyphe d'Entrave - Air,All,Air,-,4,1,5,Non,Non,Carré de 2 cases,1,-,-,Ligne,3,-,3 Tours,-,-,Air,Pose un glyphe de rang 1 / 42 à 44 (dommage Air) / Retire des PM,-,-,-,,,,
Glyphe d'Entrave - Feu,All,Feu,-,4,1,5,Non,Non,Carré de 2 cases,1,-,-,Ligne,3,-,3 Tours,-,-,Feu,Pose un glyphe de rang 1 / 42 à 44 (dommage Feu) / Retire des PM,-,-,-,,,,
Griffe Joueuse - Eau,All,Eau,-,4,1,7,Oui,Oui,Ligne de 4 cases,2,-,-,Ligne,-,-,-,-,42 à 45,Eau,-,-,45 à 48,-,20%,-,-,
Griffe Joueuse - Air,All,Air,-,4,1,7,Oui,Oui,Ligne de 4 cases,2,-,-,Ligne,-,-,-,-,42 à 45,Air,-,-,45 à 48,-,20%,-,-,
Cabriole - Eau,All,Eau,-,3,1,2,Non,Non,Croix de 1 case,2,-,-,-,-,-,2 Tours,3,33 à 37,Eau,Téléporte sur la case ciblée / 100 Puissance (2 tours),-,36 à 40,Téléporte sur la case ciblée / 100 Puissance (2 tours),15%,-,-,
Cabriole - Terre,All,Terre,-,3,1,2,Non,Non,Croix de 1 case,2,-,-,-,-,-,2 Tours,3,33 à 37,Terre,Téléporte sur la case ciblée / 100 Puissance (2 tours),-,36 à 40,Téléporte sur la case ciblée / 100 Puissance (2 tours),15%,-,-,
Invocation de Stalak,All ,-,-,4,1,2,Non,Oui,-,-,-,-,-,2,-,-,-,-,-,Invoque : Stalak invoqué / PV : 150 / PA : 12 / PM : 5 / Esquive (PA) : 180 / Esquive (PM) : 180 / Neutre (%) : -29 / Terre (%) : 21 / Feu (%) : 35 / Eau (%) : 15 / Air (%) : 24,-,-,-,-,-,-,
Tourbillon Embrasé,All,"Feu, Air",-,4,1,5,Oui,Oui,Cercle de 1 case,1,-,-,-,-,-,-,-,-,-,46 à 50 (dommage Feu) / 49 à 53 (dommage Air) / 26 à 30 (dommage Feu) / 26 à 30 (dommage Air),-,-,49 à 53 (dommage Feu) / 52 à 56 (dommage Air) / 29 à 33 (dommage Feu) / 29 à 33 (dommage Air),20%,-,-,
Mot Revitalisant,All ,Meilleur élément,-,2,0,0,Non,Oui,Cercle de 63 cases,2,10,-,-,-,-,-,-,-,Meilleur élément,11 à 12 (PV rendus),-,-,13 à 14 (PV rendus),5%,-,-,
Furie - Feu,All,Feu,-,3,1,6,Non,Oui,Croix de 1 case,3,-,2,Ligne,-,-,3 Tours,3,30 à 33,Feu,Inflige 5% des points de vie érodés du lanceur / 15 Dommages (3 tours),-,34 à 37,Inflige 5% des points de vie érodés du lanceur / 15 Dommages (3 tours),15%,-,-,
Furie - Eau,All,Eau,-,3,1,6,Non,Oui,Croix de 1 case,3,-,2,Ligne,-,-,3 Tours,3,30 à 33,Eau,Inflige 5% des points de vie érodés du lanceur / 15 Dommages (3 tours),-,34 à 37,Inflige 5% des points de vie érodés du lanceur / 15 Dommages (3 tours),15%,-,-,
Invocation du Mulou,All,-,Le Mulou peut utiliser Reconstitution sur ses alliés dans une moindre mesure.,4,1,2,Non,Oui,-,-,-,-,-,5,-,-,-,-,-,Invoque Mulou invoqué /  PV : 150 / PA : 12 / PM : 5 / Esquive (PA) : 180 / Esquive (PM) : 180 / Neutre (%) : 24 / Terre (%) : 33 / Feu (%) : 19 / Eau (%) : -31 / Air (%) : 13,-,-,-,-,-,-,
"Invocation, de Yukisamara",All,-,"Lorsque Yukisamara utilise un sort offensif, elle soigne autour d'elle dans un cercle de 2 cases.",4,1,2,Non,Oui,-,-,-,-,-,5,-,-,-,-,-,Invoque : Yukisamara invoqué /  PV : 150 / PA : 12 / PM : 5 / Esquive (PA) : 180 / Esquive (PM) : 180 / Neutre (%) : 33 / Terre (%) : -31 / Feu (%) : 19 / Eau (%) : 24 / Air (%) : 13,-,-,-,-,-,-,
Invocation d'Empaillé,All,-,Le bouclier octroyé par le Gros sac est beaucoup plus conséquent,4,1,2,Non,Oui,-,-,-,-,-,5,-,-,-,-,-,Invoque : Empaillé invoqué /  PV : 150 / PA : 12 / PM : 5 / Esquive (PA) : 180 / Esquive (PM) : 180 / Neutre (%) : 24 / Terre (%) : 13 / Feu (%) : 19 / Eau (%) : 33 / Air (%) : -31,,,,,,,
Piège de Masse,All,Eau,,4,1,7,Oui,Non,Cercle de 2 cases,1,-,-,-,-,-,-,-,-,Eau,Pose un piège de rang 1 / 28 à 31 (dommages Eau),-,-,-,-,-,-,
Piège de Masse,All,Terre,,4,1,7,Oui,Non,Cercle de 2 cases,1,-,-,-,-,-,-,-,-,Terre,Pose un piège de rang 1 / 28 à 31 (dommages Terre),-,-,-,-,-,-,
Piège d'entaille,All,Air,-,2,1,8,Non,Non,-,3,-,-,-,-,-,-,-,-,Air,Pose un piège de rang 1 / 14 à 15 (dommages Air),-,-,-,-,-,-,
Piège d'entaille,All,Feu,-,2,1,8,Non,Non,-,3,-,-,-,-,-,-,-,-,Feu,Pose un piège de rang 1 / 14 à 15 (dommages Feu),-,-,-,-,-,-,
Pulsar,All,Feu,-,4,3,6,Non,Oui,-,-,-,2,-,-,-,-,-,51 à 55,Feu,-,-,59 à 63,-,20%,-,-,
Pulsar,All,Terre,-,4,3,6,Non,Oui,-,-,-,2,-,-,-,-,-,51 à 55,Terre,-,-,59 à 63,-,20%,-,-,
Cinquième Quart,All,-,"Augmente de deux tours la durée des effets présent sur la cible, lanceur ou allié",2,0,5,Non,Oui,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Bluff,All ,"Feu, Terre",,3,1,5,Non,Oui,,2,-,-,-,-,-,-,-,-,-,30 à 34 (dommages Feu) (50% des cas) / 30 à 34 (dommages Terre) (50% des cas),,,35 à 39 (dommages Feu) (50% des cas) / 35 à 39 (dommages Terre) (50% des cas),15%,-,-,
Bluff,All ,"Air, Eau",,3,1,5,Non,Oui,,2,-,-,-,-,-,-,-,-,-,30 à 34 (dommages Air) (50% des cas) / 30 à 34 (dommages Eau) (50% des cas),,,35 à 39 (dommages Air) (50% des cas) / 35 à 39 (dommages Eau) (50% des cas),15%,-,-,
Explobombe,All,Feu,-,3,1,7,Non,Oui,-,1,-,-,-,-,-,-,-,-,-,Invoque : Explobombe / 13 à 14 (dommages Feu),-,-,-,-,-,-,
Bombe à eau ,All,Eau,-,3,1,6,Non,Oui,-,1,-,-,-,-,-,-,-,-,-,Invoque : Explobombe / 13 à 14 (dommages Eau),-,-,-,-,-,-,
Échange,All,,"Si une seconde cible en jeu possède cet effet, échange la position des deux entités et retire l'état.",2,2,6,Non,Oui,-,2,-,-,-,-,-,-,-,-,-,État Échange (3 tours) / Échange de position,-,-,-,-,-,-,
Martel,All,Meilleur élément,,3,1,1,Oui,Oui,-,2,-,1,-,-,-,-,-,25 à 28,Meilleur élément,Augmente les dégâts de base du sort Martel - Maître α de 4 (infini),-,-,-,-,-,-,
